x,y,z,d
0.09,0.5317781,0.16325443,170.66032
-0.16,-0.2682219,0.46325443,170.57765
-0.11,0.6317781,0.11325443,169.6941
-0.31,0.4317781,0.11325443,169.1022
-0.16,0.8817781,0.36325443,167.93077
0.04,0.2317781,0.21325443,167.59605
-0.01,-0.5182219,0.81325443,166.96553
0.14,0.3817781,0.46325443,166.95607
-0.01,-0.0182219,0.16325443,166.28568
0.14,0.5317781,0.66325443,166.26381
0.34,-0.5182219,0.76325443,165.73918
-0.16,-0.5182219,0.86325443,165.73882
-0.26,0.6817781,0.16325443,165.44499
-0.16,0.8817781,0.51325443,164.55864
-0.16,-0.0182219,0.16325443,162.6078
0.04,-0.0682219,0.21325443,162.34071
-0.26,0.6317781,0.16325443,161.22018
-0.11,0.8817781,0.61325443,160.2545
-0.01,-0.2182219,0.26325443,160.07066
-0.16,0.3317781,0.26325443,159.79741
-0.11,0.4817781,0.16325443,159.7404
0.14,0.5817781,0.26325443,159.69139
0.04,0.0317781,0.26325443,159.35588
0.19,-0.3682219,0.51325443,159.04115
0.24,-0.1682219,0.61325443,158.83244
0.14,0.5317781,0.21325443,157.87648
-0.36,-0.5682219,0.81325443,157.74736
0.04,0.0317781,0.21325443,154.87764
-0.31,0.5317781,0.16325443,154.7842
-0.06,0.3317781,0.16325443,154.30548
-0.06,-0.1682219,0.26325443,153.98701
0.04,0.0817781,0.21325443,153.42543
-0.26,0.5817781,0.16325443,153.28888
0.24,-0.0182219,0.36325443,152.49414
-0.31,0.4817781,0.11325443,152.4709
0.09,0.8817781,0.56325443,151.46022
-0.21,0.6817781,0.16325443,151.37456
0.24,-0.7682219,0.66325443,150.81377
0.09,0.3817781,0.11325443,150.6764
0.14,-0.5182219,0.76325443,150.07274
-0.01,0.6317781,0.71325443,149.96864
